Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,CVol
04/09/2025,86.68,86.68,-1.89,-2.13,86.67,86.68,623 659.00,309438
03/31/25,88.57,88.57,-3.42,-3.72,88.57,88.57,538 041.00,52532
02/28/25,91.99,91.99,-0.04,-0.05,91.99,91.99,503 454.00,16117
01/31/25,92.03,92.03,-0.36,-0.39,92.03,92.03,551 106.00,12665
12/31/24,92.39,92.39,2.11,2.33,92.39,92.39,529 975.00,70801
11/29/24,90.29,90.29,2.62,2.99,90.29,90.29,493 540.00,18611
10/31/24,87.66,87.66,2.38,2.79,87.66,87.66,767 707.00,18673
09/30/24,85.28,85.28,-0.54,-0.63,85.28,85.28,754 504.00,297761
08/30/24,85.83,85.82,-1.67,-1.91,85.83,85.83,540 287.00,110742
07/31/24,87.49,87.49,-0.84,-0.95,87.49,87.49,574 007.00,254797
06/28/24,88.34,88.33,1.13,1.29,88.33,88.34,354 291.00,48375
05/31/24,87.21,87.21,-1.33,-1.51,87.21,87.21,421 202.00,722
04/30/24,88.54,88.54,0.88,1,88.54,88.54,462 840.00,8825
03/28/24,87.66,87.66,0.17,0.2,87.66,87.66,481 474.00,46989
02/29/24,87.48,87.48,0.32,0.37,87.48,87.49,561 545.00,2215
01/31/24,87.16,87.16,1.46,1.7,87.16,87.16,530 725.00,399815
12/29/23,85.7,85.7,-1.06,-1.22,85.7,85.71,387 992.00,28582
11/30/23,86.77,86.77,-2.8,-3.13,86.76,86.77,512 392.00,16127
10/31/23,89.57,89.57,0.15,0.17,89.56,89.57,526 277.00,54743
09/29/23,89.42,89.42,2.22,2.55,89.42,89.42,376 769.00,44734
08/31/23,87.2,87.2,1.33,1.55,87.2,87.2,420 431.00,101577
07/31/23,85.87,85.87,-1.11,-1.28,85.86,85.87,393 665.00,43503
06/30/23,86.98,86.98,-2.08,-2.33,86.98,86.98,357 038.00,24540
05/31/23,89.06,89.06,2.85,3.31,89.06,89.06,458 785.00,6190
04/28/23,86.2,86.2,-1.41,-1.61,86.2,86.21,502 015.00,1486
03/31/23,87.61,87.61,-2.37,-2.64,87.61,87.62,453 075.00,39196
02/28/23,89.98,89.98,2.12,2.42,89.98,89.99,485 853.00,6040
01/31/23,87.86,87.86,-1.78,-1.99,87.86,87.86,534 358.00,102192
12/30/22,89.64,89.64,-3.24,-3.49,89.64,89.64,426 874.00,12729
11/30/22,92.9,92.89,-5.18,-5.28,92.89,92.9,380 789.00,118692
10/31/22,98.06,98.06,-0.87,-0.88,98.06,98.06,381 782.00,3392
09/30/22,98.93,98.93,1.8,1.85,98.93,98.93,434 342.00,75197
08/31/22,97.13,97.13,1.34,1.4,97.13,97.13,477 764.00,418
07/29/22,95.79,95.79,1.73,1.84,95.78,95.79,370 118.00,14847
06/30/22,94.05,94.05,1.42,1.53,94.05,94.05,357 382.00,17293
05/31/22,92.63,92.63,-1.84,-1.95,92.63,92.63,347 533.00,491
04/29/22,94.48,94.48,4.91,5.48,94.48,94.48,510 338.00,5878
03/31/22,89.57,89.57,0.85,0.96,89.57,89.57,481 015.00,42345
02/28/22,88.72,88.72,-0.15,-0.17,88.72,88.72,430 864.00,293776
01/31/22,88.86,88.87,1.14,1.3,88.86,88.86,284 143.00,150721
12/31/21,87.72,87.73,-0.98,-1.11,87.72,87.73,160 426.00,18325
11/30/21,88.71,88.71,2.37,2.74,88.7,88.71,194 560.00,116316
10/29/21,86.34,86.35,0.13,0.15,86.34,86.35,116 058.00,3516
09/30/21,86.22,86.22,1.59,1.87,86.22,86.22,111 047.00,10083
08/31/21,84.64,84.64,0.39,0.46,84.63,84.64,116 939.00,4866
07/30/21,84.25,84.25,0.01,0.01,84.25,84.25,144 554.00,284
06/30/21,84.24,84.24,2.52,3.08,84.24,84.24,137 032.00,12689
05/28/21,81.72,81.72,-1.29,-1.55,81.72,81.72,156 379.00,9057
04/30/21,83.01,83.01,-2.02,-2.37,83.01,83.01,148 477.00,2161
03/31/21,85.03,85.03,2.71,3.29,85.03,85.03,171 314.00,38964
02/26/21,82.32,82.32,0.06,0.07,82.32,82.32,210 450.00,1621
01/29/21,82.26,82.26,0.6,0.73,82.26,82.26,168 779.00,87086
12/31/20,81.66,81.66,-1.87,-2.24,81.66,81.66,158 772.00,5274
11/30/20,83.53,83.53,-2.24,-2.61,83.53,83.54,153 358.00,5550
10/30/20,85.77,85.77,0.57,0.66,85.77,85.77,217 437.00,623
09/30/20,85.21,85.2,1.65,1.98,85.21,85.21,225 478.00,13221
08/31/20,83.55,83.55,-0.96,-1.14,83.55,83.56,230 216.00,8099
07/31/20,84.52,84.52,-4.45,-5,84.52,84.52,245 012.00,11439
06/30/20,88.97,88.97,-0.89,-0.99,88.97,88.98,201 308.00,18281
05/29/20,89.85,89.85,-1.41,-1.54,89.85,89.85,231 251.00,488
04/30/20,91.26,91.26,0.19,0.21,91.26,91.26,246 316.00,28971
03/31/20,91.07,91.07,1.14,1.26,91.07,91.07,232 520.00,20031
02/28/20,89.94,89.94,1.13,1.28,89.86,89.86,402 133.00,439464
01/31/20,88.8,88.8,1.1,1.25,88.8,88.81,451 638.00,93700
12/31/19,87.71,87.7,-1.58,-1.77,87.7,87.71,436 294.00,28632
11/29/19,89.28,89.28,1.29,1.46,89.28,89.28,431 768.00,29561
10/31/19,87.99,87.99,-2.04,-2.27,87.99,87.99,407 732.00,1730
09/30/19,90.03,90.03,0.9,1.01,90.03,90.03,387 558.00,70391
08/30/19,89.13,89.13,1.25,1.42,89.13,89.13,454 996.00,47569
07/31/19,87.88,87.88,2.15,2.5,87.88,87.88,579 138.00,364896
06/28/19,85.74,85.73,-1.89,-2.16,85.73,85.74,467 327.00,87374
05/31/19,87.63,87.63,0.51,0.59,87.63,87.63,362 098.00,217549
04/30/19,87.12,87.12,0.2,0.23,87.12,87.12,281 786.00,47805
03/29/19,86.92,86.92,1.21,1.41,86.91,86.92,230 717.00,19671
02/28/19,85.71,85.71,0.65,0.76,85.71,85.71,267 169.00,14042
01/31/19,85.06,85.06,-0.32,-0.37,85.06,85.06,307 221.00,1829
12/31/18,85.38,85.38,-0.83,-0.96,85.38,85.38,348 810.00,14256
11/30/18,86.2,86.2,0.05,0.06,86.2,86.21,286 636.00,57142
10/31/18,86.15,86.15,1.93,2.3,86.15,86.16,291 596.00,54297
09/28/18,84.22,84.22,0.12,0.15,84.22,84.22,250 925.00,27527
08/31/18,84.1,84.1,0.47,0.56,84.09,84.1,365 895.00,5148
07/31/18,83.63,83.63,-0.38,-0.45,83.63,83.63,315 696.00,11133
06/29/18,84.01,84,-0.03,-0.04,84,84.01,249 136.00,11127
05/31/18,84.04,84.04,2.67,3.28,84.04,84.04,239 831.00,54598
04/30/18,81.37,81.37,1.42,1.78,81.37,81.37,328 012.00,9264
03/29/18,79.95,79.95,-0.68,-0.85,79.94,79.95,361 784.00,2982
02/28/18,80.63,80.63,1.5,1.89,80.63,80.63,425 684.00,32793
01/31/18,79.13,79.13,-2.97,-3.62,79.13,79.14,255 598.00,108780
12/29/17,82.11,82.11,-0.59,-0.71,82.1,82.11,272 652.00,6585
11/30/17,82.69,82.7,-1.97,-2.32,82.69,82.7,344 232.00,31577
10/31/17,84.66,84.66,1.05,1.26,84.66,84.66,347 464.00,21996
09/29/17,83.62,83.61,0.47,0.57,83.61,83.62,242 793.00,11511
08/31/17,83.14,83.14,-0.69,-0.82,83.14,83.14,290 595.00,6052
07/31/17,83.83,83.83,-2.84,-3.28,83.83,83.83,294 262.00,1980
06/30/17,86.67,86.67,-1.26,-1.44,86.66,86.67,292 844.00,10819
05/31/17,87.93,87.93,-3.08,-3.38,87.93,87.93,380 339.00,43905
04/28/17,91.01,91.01,-1.66,-1.79,91.01,91.01,397 035.00,7046
03/31/17,92.66,92.67,-0.73,-0.78,92.66,92.67,454 949.00,17688
02/28/17,93.34,93.4,1.52,1.66,93.34,93.34,562 317.00,269448
01/31/17,91.87,91.88,-2.32,-2.47,91.87,91.88,324 756.00,51603
12/30/16,94.2,94.2,0.53,0.56,94.2,94.2,191 931.00,9713
11/30/16,93.67,93.67,2.81,3.09,93.67,93.67,223 363.00,27659
10/31/16,90.86,90.86,2.23,2.51,90.86,90.86,292 294.00,2538
09/30/16,88.64,88.64,-0.73,-0.82,88.63,88.64,300 797.00,11911
08/31/16,89.37,89.37,0.29,0.33,89.36,89.37,251 724.00,146318
07/29/16,89.07,89.07,-0.6,-0.67,89.07,89.07,169 048.00,1477
06/30/16,89.67,89.67,0.24,0.26,89.67,89.67,196 517.00,12127
05/31/16,89.44,89.44,2.48,2.85,89.44,89.44,241 829.00,61691
04/29/16,86.96,86.96,-0.48,-0.55,86.95,86.96,234 990.00,23934
03/31/16,87.44,87.43,-4.23,-4.62,87.43,87.44,128 660.00,6113
02/29/16,91.67,91.67,-0.43,-0.47,91.67,91.67,130 721.00,16621
01/29/16,92.1,92.1,0.35,0.39,92.1,92.1,161 876.00,32580
12/31/15,91.75,91.75,-2.64,-2.8,91.74,91.75,157 609.00,37028
11/30/15,94.39,94.39,3.99,4.41,94.39,94.39,215 975.00,21823
10/30/15,90.41,90.4,0.94,1.06,90.4,90.41,218 291.00,13328
09/30/15,89.46,89.46,0.41,0.46,89.46,89.46,193 204.00,6589
08/31/15,89.05,89.05,-1.34,-1.49,89.04,89.05,153 653.00,16455
07/31/15,90.39,90.39,0.76,0.85,90.31,90.4,140 811.00,2990
06/30/15,89.63,89.63,-1.47,-1.61,89.63,89.63,171 137.00,7424
05/29/15,91.1,91.1,1.97,2.21,91.08,91.11,102 093.00,901
04/30/15,89.13,89.13,-3.87,-4.16,89.12,89.13,103 470.00,14820
03/31/15,92.99,92.99,3.96,4.45,92.99,93,109 906.00,3682
02/27/15,89.03,89.03,0.54,0.61,89.03,89.04,96 667.00,3598
01/30/15,88.49,88.49,5.99,7.26,88.49,88.5,96 311.00,8720
12/31/14,82.51,82.5,2.38,2.97,82.5,82.52,97 448.00,878
11/28/14,80.13,80.13,0.39,0.49,80.13,80.13,63 624.00,1
10/31/14,79.74,79.74,0.65,0.82,79.73,79.74,44 394.00,1930
09/30/14,79.09,79.09,3.25,4.29,79.09,79.1,39 271.00,3390
08/29/14,75.84,75.84,1.17,1.57,75.84,75.84,33 014.00,170
07/31/14,74.67,74.67,1.7,2.34,74.61,74.68,37 880.00,15
06/30/14,72.96,72.96,-0.26,-0.35,72.96,72.97,40 513.00,1273
05/30/14,73.22,73.22,1.16,1.61,73.12,73.24,29 596.00,651
04/30/14,72.06,72.06,-0.44,-0.61,72.03,72.07,48 635.00,5072
03/31/14,72.5,72.5,0.14,0.2,72.49,72.51,50 267.00,92
02/28/14,72.35,72.35,-1.74,-2.35,72.32,72.36,46 726.00,115
01/31/14,74.1,74.09,1.59,2.19,74.09,74.1,44 139.00,2175
12/31/13,72.51,72.51,-0.88,-1.2,72.51,72.51,40 382.00,1676
11/29/13,73.38,73.38,-0.11,-0.15,73.38,73.39,32 414.00,2098
10/31/13,73.49,73.49,-0.31,-0.42,73.49,73.49,34 513.00,8065
09/30/13,73.8,73.8,-1.97,-2.6,73.8,73.81,27 022.00,2995
08/30/13,75.78,75.77,0.54,0.71,75.77,75.78,39 684.00,253
07/31/13,75.24,75.24,-1.62,-2.11,75.24,75.24,42 339.00,248
06/28/13,76.86,76.86,-0.22,-0.28,76.86,76.86,47 700.00,2695
05/31/13,77.08,77.08,1.34,1.77,77.08,77.08,61 149.00,101
04/30/13,75.74,75.74,-2.02,-2.6,75.74,75.74,51 562.00,1025
03/28/13,77.76,77.76,1.38,1.81,77.76,77.76,59 444.00,5461
02/28/13,76.38,76.38,2.81,3.83,76.38,76.38,43 871.00,524
01/31/13,73.57,73.57,-2.16,-2.85,73.55,73.57,55 385.00,
12/31/12,75.73,75.72,-1.04,-1.35,75.72,75.73,95 556.00,
11/30/12,76.76,76.76,-0.29,-0.37,76.75,76.79,71 355.00,
10/31/12,77.05,77.05,-0.57,-0.73,77.03,77.06,80 512.00,
09/28/12,77.62,77.62,-1.61,-2.04,77.62,77.62,61 997.00,1981
08/31/12,79.23,79.23,-1.86,-2.29,79.23,79.23,57 816.00,
07/31/12,81.09,81.09,2.43,3.09,81.09,81.09,58 154.00,2995
06/29/12,78.66,78.66,-2.09,-2.59,78.65,78.66,52 548.00,1037
05/31/12,80.75,80.75,5.3,7.02,80.74,80.76,55 894.00,
04/30/12,75.45,75.45,0.46,0.61,75.45,75.46,52 692.00,2423
03/30/12,75,75,0.32,0.43,74.98,75.02,59 252.00,2014
02/29/12,74.68,74.68,-1.65,-2.16,74.65,74.7,68 200.00,1
01/31/12,76.33,76.33,-0.64,-0.84,76.29,76.34,66 153.00,1252
12/30/11,76.97,76.97,2.75,3.71,76.96,77.03,69 273.00,3738
11/30/11,74.22,74.22,2.58,3.6,74.21,74.29,72 790.00,1667
10/31/11,71.63,71.64,-2.83,-3.8,71.6,71.69,63 810.00,1043
09/30/11,74.47,74.47,5.08,7.33,74.44,74.53,63 474.00,2929
08/31/11,69.39,69.39,-0.13,-0.18,69.37,69.4,82 571.00,3476
07/29/11,69.51,69.51,0.61,0.88,69.46,69.54,93 778.00,22282
06/30/11,68.9,68.9,-0.59,-0.85,68.9,68.91,67 516.00,633
05/31/11,69.5,69.5,2.16,3.21,69.47,69.5,73 952.00,54
04/29/11,67.34,67.33,-3.04,-4.31,67.3,67.35,83 034.00,972
03/31/11,70.37,70.37,-1.92,-2.65,70.33,70.37,80 879.00,1106
02/28/11,72.29,72.29,-0.53,-0.73,72.12,72.29,82 152.00,472
01/31/11,72.82,72.82,-1.59,-2.13,72.82,72.82,73 345.00,4686
12/31/10,74.4,74.4,-2.27,-2.96,74.4,74.42,93 742.00,169
11/30/10,76.67,76.67,4.86,6.77,76.66,76.69,98 847.00,7088
10/29/10,71.81,71.81,-1.3,-1.78,71.81,71.83,101 829.00,2576
09/30/10,73.11,73.11,-5.43,-6.91,73.11,73.12,91 493.00,2202
08/31/10,78.54,78.54,1.93,2.52,78.54,78.54,82 425.00,632
07/30/10,76.61,76.61,-4.84,-5.95,76.61,76.76,81 963.00,4794
06/30/10,81.45,81.45,0.13,0.17,81.44,81.46,82 775.00,2423
05/28/10,81.32,81.32,6.26,8.34,81.31,81.5,67 668.00,6286
04/30/10,75.06,75.06,1.29,1.75,75.06,75.06,73 968.00,3673
03/31/10,73.76,73.76,0.58,0.79,73.17,73.77,76 666.00,7919
02/26/10,73.18,73.18,1.33,1.86,73.17,73.19,87 242.00,
01/29/10,71.85,71.85,2.26,3.25,71.85,71.87,89 383.00,4628
12/31/09,69.59,69.59,3.09,4.65,69.49,69.7,93 376.00,3032
11/30/09,66.5,66.5,-1.18,-1.75,66.49,66.5,69 087.00,13905
10/30/09,67.68,67.68,-0.62,-0.9,67.68,67.7,75 118.00,9138
09/30/09,68.3,68.3,-1.26,-1.81,,,65 016.00,4967
08/31/09,69.56,69.56,-0.81,-1.15,,,50 154.00,7013
07/31/09,70.36,70.36,-0.71,-1,70.36,70.37,53 259.00,1797
06/30/09,71.07,71.07,0.55,0.78,,,60 800.00,5223
05/29/09,70.52,70.52,-4.81,-6.38,70.52,70.52,71 938.00,
04/30/09,75.33,75.33,0.18,0.24,,,68 695.00,9062
03/31/09,75.15,75.15,-3.41,-4.34,,,63 459.00,6338
02/27/09,78.56,78.56,0.71,0.91,,,61 836.00,
01/30/09,77.85,77.85,6.02,8.38,,,62 716.00,14297
12/31/08,71.83,71.83,-6.67,-8.49,,,71 610.00,
11/28/08,78.5,78.5,0.16,0.21,,,100 078.00,
10/31/08,78.33,78.33,8.35,11.93,,,120 531.00,12081
09/30/08,69.99,69.99,3.45,5.19,,,140 319.00,27831
08/29/08,66.53,66.53,3.82,6.09,,,143 470.00,7544
07/31/08,62.71,62.71,0.72,1.16,,,130 537.00,8032
06/30/08,61.99,61.99,-1.08,-1.72,,,125 437.00,7765
05/30/08,63.07,63.07,0.13,0.2,,,133 639.00,
04/30/08,62.95,62.95,1.21,1.96,,,189 964.00,95535
03/31/08,61.74,61.74,-2.17,-3.39,,,68 779.00,4090
02/29/08,63.91,63.91,-1.64,-2.5,,,130 628.00,
01/31/08,65.54,65.54,-0.01,-0.01,,,171 327.00,46501
12/31/07,65.55,65.55,0.48,0.73,,,141 448.00,3845
11/30/07,65.07,65.07,-0.94,-1.42,,,148 842.00,
10/31/07,66.01,66.01,-1.11,-1.65,,,199 279.00,2191
09/28/07,67.12,67.12,-2.57,-3.68,,,98 457.00,13
08/31/07,69.69,69.69,0.48,0.69,,,131 347.00,351
07/31/07,69.22,69.22,-0.94,-1.34,,,110 811.00,
06/29/07,70.16,70.16,-0.26,-0.36,,,132 810.00,
05/31/07,70.41,70.41,0.98,1.41,,,181 542.00,1230
04/30/07,69.43,69.43,-1.75,-2.46,,,166 103.00,
03/30/07,71.18,71.18,-0.55,-0.77,,,185 989.00,322
02/28/07,71.73,71.73,-1.19,-1.63,,,95 711.00,
01/31/07,72.92,72.92,1.06,1.47,,,104 772.00,800
12/29/06,71.86,71.86,0.38,0.53,,,122 015.00,28
11/30/06,71.48,71.48,-2.76,-3.71,,,96 433.00,
10/31/06,74.24,74.24,-0.56,-0.75,,,123 250.00,47
09/29/06,74.8,74.8,0.77,1.04,,,109 979.00,1452
08/31/06,74.02,74.02,-0.18,-0.24,,,164 796.00,
07/31/06,74.2,74.2,0.11,0.14,,,185 713.00,1553
06/30/06,74.09,74.09,0.27,0.37,,,198 000.00,28220
05/31/06,73.82,73.82,-1.63,-2.16,,,118 821.00,1496
04/28/06,75.45,75.45,-3.24,-4.12,,,161 301.00,1358
03/31/06,78.7,78.7,-1.2,-1.5,,,170 580.00,498
02/28/06,79.9,79.9,1.24,1.58,,,146 005.00,2538
01/31/06,78.65,78.65,-2.34,-2.89,,,203 741.00,1211
12/30/05,80.99,80.99,-0.44,-0.54,,,175 433.00,646
11/30/05,81.43,81.43,1.09,1.36,,,90 563.00,
10/31/05,80.34,80.34,0.53,0.66,,,157 261.00,
09/30/05,79.81,79.81,1.34,1.71,,,165 093.00,323
08/31/05,78.47,78.47,-1.01,-1.28,,,123 406.00,
07/29/05,79.48,79.48,-0.28,-0.34,,,156 409.00,626
06/30/05,79.76,79.76,1.23,1.56,,,148 945.00,888
05/31/05,78.53,78.53,3.22,4.28,,,125 973.00,1519
04/29/05,75.31,75.31,,,,,108 948.00,
